Frequency of Green LED: 5
Duty Cycle of Green LED: 20
Frequency of Red LED: 5
Duty Cycle of Red LED: 50
Time, Green LED, Red LED
14.38,      0,       0
14.40,      0,       0
14.42,      1,       1
14.44,      1,       1
14.46,      0,       1
14.48,      0,       1
14.50,      0,       1
14.52,      0,       0
14.54,      0,       0
14.56,      0,       0
14.58,      0,       0
14.60,      0,       0
14.62,      1,       1
14.64,      1,       1
14.66,      0,       1
14.68,      0,       1
14.70,      0,       1
14.72,      0,       0
14.74,      0,       0
14.76,      0,       0
14.78,      0,       0
14.80,      0,       0
14.82,      1,       1
14.84,      1,       1
14.86,      0,       1
14.88,      0,       1
14.90,      0,       1
14.92,      0,       0
14.94,      0,       0
14.96,      0,       0
14.98,      0,       0
15.00,      0,       0
15.02,      1,       1
15.04,      1,       1
15.06,      0,       1
15.08,      0,       1
15.10,      0,       1
15.12,      0,       0
15.14,      0,       0
15.16,      0,       0
15.18,      0,       0
15.20,      0,       0
15.22,      1,       1
15.24,      1,       1
15.26,      0,       1
15.28,      0,       1
15.30,      0,       1
15.32,      0,       0
15.34,      0,       0
15.36,      0,       0
15.38,      0,       0
15.40,      0,       0
15.42,      1,       1
15.44,      1,       1
15.46,      0,       1
15.48,      0,       1
15.50,      0,       1
15.52,      0,       0
15.54,      0,       0
15.56,      0,       0
15.58,      0,       0
15.60,      0,       0
15.62,      1,       1
15.64,      1,       1
15.66,      0,       1
15.68,      0,       1
15.70,      0,       1
15.72,      0,       0
15.74,      0,       0
15.76,      0,       0
15.78,      0,       0
15.80,      0,       0
15.82,      1,       1
15.84,      1,       1
15.86,      0,       1
15.88,      0,       1
15.90,      0,       1
15.92,      0,       0
15.94,      0,       0
15.96,      0,       0
15.98,      0,       0
16.00,      0,       0
16.02,      1,       1
16.04,      1,       1
16.06,      0,       1
16.08,      0,       1
16.10,      0,       1
16.12,      0,       0
16.14,      0,       0
16.16,      0,       0
16.18,      0,       0
16.20,      0,       0
16.22,      1,       1
16.24,      1,       1
16.26,      0,       1
16.28,      0,       1
